Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
Jun04_2021,52099870,195642,703822,4739,48507862,2888186,29082
Jun05_2021,52284192,183137,707777,3937,48783598,2792817,28823
Jun06_2021,52449048,164856,711516,3739,49036855,2700677,28621
Jun07_2021,52599200,150186,714758,3242,49310918,2573524,28464
Jun08_2021,52758035,158416,718199,3440,49549492,2490344,28340
Jun09_2021,52924577,166542,725613,7414,49780722,2418242,28005
Jun10_2021,53093041,168218,730371,4756,49999879,2362791,27976
Jun11_2021,53248241,155199,735559,5188,50199186,2313496,27595
Jun12_2021,53397876,148013,740020,4446,50417564,2240292,27498
Jun13_2021,53535006,136695,745009,2863,50607881,2182116,27495
Jun14_2021,53668117,133111,748923,2592,50812037,2107157,27317
Jun15_2021,53799997,131738,752603,2612,50997099,2050295,27130
Jun16_2021,53941156,141159,756153,2631,51176049,2008954,26902
Jun17_2021,54083358,142202,759048,2615,51338738,1985572,26799
Jun18_2021,54221072,137714,761888,2463,51509315,1949869,26981
Jun19_2021,54353836,130834,764694,2442,51672660,1916482,26891
Jun20_2021,54479503,125667,767357,2352,51823639,1888507,26893
Jun21_2021,54595550,116094,769662,2047,51969180,1856708,26905
Jun22_2021,54731641,136102,772286,2330,52121793,1837562,26795
Jun23_2021,54867561,135988,774962,2319,52262780,1829819,26620
Jun24_2021,55010691,143150,777563,2242,52396078,1837050,26487
Jun25_2021,55146859,135872,780090,2523,52532562,1834207,26321
Jun26_2021,55278518,131659,782546,2456,52665181,1830791,26445
Jun27_2021,55415191,132591,784965,2340,52802415,1827811,26432
Jun28_2021,55546299,131101,787145,2180,52933279,1825875,26648
Jun29_2021,55686322,139962,789428,2283,53072601,1824293,26647
Jun30_2021,55834962,148528,791871,2442,53216819,1826272,26539
Jul01_2021,55987178,152217,794245,2374,53348192,1844741,26654
Jul02_2021,56140194,153030,796606,2362,53482211,1861377,26561
Jul03_2021,56284476,142461,799078,2422,53612951,1872447,26615
Jul04_2021,56430639,146226,801390,2313,53737044,1892205,26656
Jul05_2021,56580137,149486,803450,2060,53870977,1905710,26694
Jul06_2021,56743500,163260,806152,2701,53999877,1937471,26857
Jul07_2021,56915793,172293,809154,3002,54128065,1978574,27247
Jul08_2021,57100460,184667,812146,2992,54260832,2027482,27528
Jul09_2021,57279950,179393,815280,3131,54401296,2063374,27739
Jul10_2021,57447578,166425,818230,2881,54544135,2085213,27987
Jul11_2021,57620350,172762,821126,2895,54695212,2104012,28198
Jul12_2021,57797332,176982,825206,2602,54854365,2117761,28545
Jul13_2021,57992856,195524,827833,2627,54990347,2174676,28708
Jul14_2021,58206775,213920,830725,2890,55128357,2247693,29039
Jul15_2021,58422610,215835,833691,2966,55266630,2322289,29297
Jul16_2021,58632642,210032,836832,3141,55415883,2379927,29285
Jul17_2021,58833236,200594,839860,3028,55572318,2421058,29750
Jul18_2021,59035126,201890,842946,3086,55724560,2467620,29805
Jul19_2021,59222260,187093,846193,3245,55890306,2485761,29944
Jul20_2021,59428348,206088,852867,3165,56039057,2536424,30534
Jul21_2021,59629970,201622,856231,3364,56198783,2574956,30603
Jul22_2021,59834777,204854,859598,3367,56361623,2613556,30844
Jul23_2021,60054517,219869,863091,3494,56522608,2668818,30974
Jul24_2021,60271051,216534,866790,3699,56698975,2705286,31382
Jul25_2021,60493245,222131,870246,3363,56868669,2754330,31576
Jul26_2021,60718570,220654,874205,3704,57063234,2781131,32007
Jul27_2021,60979099,260322,878777,4573,57257336,2842986,32040
Jul28_2021,61250068,271513,883167,4391,57458474,2908427,32662
Jul29_2021,61522281,272435,887778,4611,57660009,2974494,33126
Jul30_2021,61781684,259675,892251,4472,57851530,3037903,33466
Jul31_2021,62027655,245579,896720,4459,58035844,3095091,33813
Aug01_2021,62280762,252552,900686,3963,58229510,3150566,34060
Aug02_2021,62520560,239730,905185,4214,58422058,3193317,34654
Aug03_2021,62790288,269283,909685,4500,58618269,3262334,34811
Aug04_2021,63072488,282200,914404,4719,58817188,3340896,35546
Aug05_2021,63357651,285163,919187,4783,59034944,3403520,36287
Aug06_2021,63637217,279693,923983,4797,59264656,3448578,36705
Aug07_2021,63894018,256528,928267,4272,59498615,3467136,37241
